
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:2E:7F:56:EA:20, 2021-04-23 00:10:49, 2021-04-23 00:11:31, 11, 260, WPA2, CCMP, MGT, -51,        4,        0,   0.  0.  0.  0,   0, , 
F4:2E:7F:56:39:20, 2021-04-23 00:11:07, 2021-04-23 00:11:07,  1, 260, WPA2, CCMP, MGT, -70,        1,        0,   0.  0.  0.  0,   0, , 
F4:2E:7F:56:4C:90, 2021-04-23 00:10:44, 2021-04-23 00:11:31, 36, 720, WPA2, CCMP, MGT, -61,        3,        0,   0.  0.  0.  0,   0, , 
F4:2E:7F:51:00:A1, 2021-04-23 00:10:49, 2021-04-23 00:11:07,  1, 260, OPN, ,   , -74,        1,        0,   0.  0.  0.  0,   6, GNBA-F, 
F4:2E:7F:56:03:A0, 2021-04-23 00:10:43, 2021-04-23 00:11:07,  6, 260, WPA2, CCMP, MGT, -77,        1,        0,   0.  0.  0.  0,   0, , 
F4:2E:7F:57:05:61, 2021-04-23 00:11:07, 2021-04-23 00:11:07,  6, 260, OPN, ,   , -80,        1,        0,   0.  0.  0.  0,   6, GNBA-F, 
F4:2E:7F:57:2C:10, 2021-04-23 00:11:08, 2021-04-23 00:11:08, 149, 720, WPA2, CCMP, MGT, -83,        1,        0,   0.  0.  0.  0,   0, , 
F4:2E:7F:56:45:81, 2021-04-23 00:10:55, 2021-04-23 00:10:55, 11, 260, OPN, ,   , -64,        1,        0,   0.  0.  0.  0,   6, GNBA-F, 
F4:2E:7F:56:E1:D1, 2021-04-23 00:10:56, 2021-04-23 00:11:31, 44, 720, OPN, ,   , -81,        1,        0,   0.  0.  0.  0,   6, GNBA-F, 
F4:2E:7F:56:3E:F1, 2021-04-23 00:10:38, 2021-04-23 00:11:31, 165, 720, OPN, ,   , -81,        1,        0,   0.  0.  0.  0,   6, GNBA-F, 
F4:2E:7F:57:04:61, 2021-04-23 00:10:56, 2021-04-23 00:10:56,  6, 260, OPN, ,   , -84,        1,        0,   0.  0.  0.  0,   6, GNBA-F, 
F4:2E:7F:56:FD:41, 2021-04-23 00:10:37, 2021-04-23 00:10:43,  1, 260, OPN, ,   , -72,        2,        0,   0.  0.  0.  0,   6, GNBA-F, 
F4:2E:7F:56:35:F1, 2021-04-23 00:10:50, 2021-04-23 00:10:50, 40, 720, OPN, ,   , -88,        1,        0,   0.  0.  0.  0,   6, GNBA-F, 
